Temps(s),Température air (°C),Température point de rosée (°C),Nature des précipitations,Vitesse du vent (m/s),Rayonnement global (W/m2),Rayonnement atmosphérique (W/m2)
1155600.00,16.69,9.65,0.00,4.60,47.18,364.91
1159200.00,16.71,10.12,0.00,4.80,73.64,374.00
1162800.00,16.72,11.14,0.00,4.09,98.73,375.64
1166400.00,16.94,11.61,0.00,4.34,160.18,362.82
1170000.00,16.46,12.40,0.00,2.73,80.55,373.09
1173600.00,16.43,12.63,0.36,1.19,34.73,386.55
1177200.00,15.59,13.06,0.91,4.12,73.00,383.45
1180800.00,15.82,12.08,0.45,5.23,99.27,366.55
1184400.00,15.99,11.76,0.00,3.74,103.91,359.18
1188000.00,17.02,11.31,0.00,0.96,171.09,369.64
1191600.00,17.17,11.28,0.00,3.11,85.64,374.18
1195200.00,17.56,11.40,0.00,3.06,208.73,365.55
1198800.00,17.42,11.82,0.00,4.14,233.64,316.64
1202400.00,16.93,11.35,0.00,4.14,75.36,286.91
1206000.00,15.95,10.70,0.00,2.73,2.09,293.36
1209600.00,15.29,10.22,0.00,2.02,0.00,294.64
1213200.00,14.65,10.06,0.00,1.64,0.00,276.64
1216800.00,13.99,9.66,0.00,0.68,0.00,271.36
1220400.00,13.28,7.97,0.00,0.71,0.00,266.36
1224000.00,12.44,7.46,0.00,1.09,0.00,264.00
1227600.00,12.14,7.12,0.00,0.10,0.00,262.73
1231200.00,10.85,6.96,0.00,0.00,0.00,260.09
1234800.00,8.71,6.10,0.00,0.00,0.00,258.27
1238400.00,7.40,5.49,0.00,0.00,10.36,257.36
1242000.00,8.85,6.82,0.00,0.00,136.36,260.18
1245600.00,13.73,8.99,0.00,1.79,262.45,275.82
1249200.00,15.71,8.91,0.00,3.86,357.45,300.00
1252800.00,17.50,9.02,0.00,4.09,682.82,306.82
1256400.00,18.67,8.48,0.00,4.90,777.09,323.82
1260000.00,19.30,8.50,0.00,4.97,866.45,324.18
1263600.00,19.05,8.14,0.00,4.97,687.27,340.82
1267200.00,18.46,7.96,0.00,3.43,327.45,348.18
1270800.00,17.71,8.65,0.00,3.41,336.64,345.09
1274400.00,16.93,8.59,0.00,3.46,168.27,349.82
1278000.00,15.74,8.10,0.00,3.33,121.82,350.00
1281600.00,14.27,9.05,0.45,2.17,131.55,351.36
1285200.00,14.07,8.89,0.00,1.89,84.82,337.91
1288800.00,13.42,8.42,0.00,2.73,19.18,353.18
